ACTH : adrenocorticotrop
adăpost : orice
adăposti : sălășlui
adăposti : scuti
adăposti : ploaie
adăpostit : apărat
adăpostit : ferit
adăpostit : ocrotit
adăpostit : păzit
adăpostit : protejat
adăpostit : sigur
adăpostit : scutit
adăpătoare : jgheab
adăpătoare : pentru
aegopodium : jumătate
aer : spirit
aer : curent
aerian : străveziu
aerian : subțire
aerian : transparent
aerisi : ventila
aerisire : ventilaj
aerisire : ventilare
aerisire : ventilație
aerisit : ventila
aerob : aerobiotic
aerolit : specie
aeronautic : aviatic
aeronautică : aviatic
aeronavă : aerovehicul
aeronavă : aeromobil
aeroport : aerodrom
aerospațial : aerocosmic
aerostat : balon
aerostatică : statica
aerostatică : gazelor
aestivalis : chimen-câinesc
aestivalis : iarba-cocoșului
afabil : amabil
afabil : binevoitor
afabil : cordial
afabil : prietenesc
afabilitate : cordialitate
afacere : chestiune
afacere : interese
afacere : rezolvat
afacere : toate
afacere : speculație
afacere : gheșeft
afacere : felul
afacerist : profitor
afacerist : speculant
afacerist : speculator
afacerist : bișnițar
afanisi : nimici
afanisi : potopi
afanisi : prăpădi
afanisi : sfărâma
afanisi : zdrobi
afanisire : nimici
afanisire : potopi
afanisire : prăpădi
afanisire : sfărâma
afanisire : zdrobi
afanisit : nimici
afanisit : potopi
afanisit : prăpădi
afanisit : sfărâma
afanisit : zdrobi
afară : interj
afazie : disfazie
afecta : destina
afecta : distribui
afecta : repartiza
afecta : important
afecta : pentru
afectare : artificialitate
afectare : căutare
afectare : manierism
afectare : patos
afectare : prețiozitate
afectare : retorism
afectat : artificial
afectat : bombastic
afectat : căutat
afectat : convențional
afectat : declamator
afectat : declarativ
afectat : emfatic
afectat : făcut
afectat : grandilocvent
afectat : manierat
afectat : nefiresc
afectat : nenatural
afectat : pompos
afectat : pretențios
afectat : retoric
afectat : prețios
afectat : sunător
afectat : umflat
afectat : limbaj
afectat : forțat
afectat : nesincer
afectat : prefăcut
afectat : silit
afectat : silnic
afectat : studiat
afectat : teatral
afectat : teatralist
afectat : atitudine
afectiv : emotiv
afectiv : emoțional
afectiv : proces
afectiv : sentimental
afectuos : cordial
afectuos : familiar
afectuos : intim
afectuos : prietenesc
afectuos : prietenos
afectuos : dezmierdător
afectuos : drăgăstos
afectuos : duios
afectuos : iubitor
afectuos : mângâietor
afectuos : tandru
afectuos : mângâios
afemeiat : fustangiu
afemeiat : muieratic
afemeiat : berbant
afemeiat : craidon
afemeiat : muierce
afemeiat : donjuan
afemeiat : ștrengar
aferent : centripet
aferim : interj
aferim : bravo
afet : strat
afierosi : azvârli
afierosi : cheltui
afierosi : consacra
afierosi : dărui
afierosi : dedica
afierosi : destina
afierosi : devota
afierosi : hărăzi
afierosi : irosi
afierosi : împrăștia
afierosi : închina
afierosi : prăpădi
afierosi : risipi
afierosire : azvârli
afierosire : cheltui
afierosire : consacra
afierosire : dărui
afierosire : dedica
afierosire : destina
afierosire : devota
afierosire : hărăzi
afierosire : irosi
afierosire : împrăștia
afierosire : închina
afierosire : prăpădi
afierosire : risipi
afierosit : azvârli
afierosit : cheltui
afierosit : consacra
afierosit : dărui
afierosit : dedica
afierosit : destina
afierosit : devota
afierosit : hărăzi
afierosit : irosi
afierosit : împrăștia
afierosit : închina
afierosit : prăpădi
afierosit : risipi
afiliere : afiliație
afinare : afinaj
afinare : zahărului
afiniș : afinet
afiniș : marginea
afirma : declara
afirma : mărturi
afirma : relata
afirma : spune
afirma : cuvânta
afirma : următoarele
afirma : șopti
afirma : vorbi
afirma : zvoni
afirma : slomni
afirma : evidenția
afirma : impune
afirma : remarca
afirma : repede
afirmat : declara
afirmat : mărturi
afirmat : relata
afirmat : spune
afirmat : cuvânta
afirmat : următoarele
afirmat : șopti
afirmat : vorbi
afirmat : zvoni
afirmat : slomni
afirmat : evidenția
afirmat : impune
afirmat : remarca
afirmat : repede
afirmație : cuvânt
afirmație : declarație
afirmație : mărturisire
afirmație : relatare
afirmație : aserțiune
afirmație : propoziție
afirmație : astăzi
afixare : derivare
afișa : placarda
afișare : afișaj
afișat : placarda
afișier : avizier
afișier : panou
afla : găsi
afla : răsufla
afla : transpira
afla : descoperi
afla : ghici
afla : bănui
afla : cunoaște
afla : oblici
afla : toții
afla : ce-ai
afla : prinde
afla : singur
afla : exista
afla : acolo
afla : mărfuri
afla : figura
afla : număra
afla : printre
aflare : primire
aflat : găsi
aflat : răsufla
aflat : transpira
aflat : descoperi
aflat : ghici
aflat : bănui
aflat : cunoaște
aflat : oblici
aflat : toții
aflat : ce-ai
aflat : prinde
aflat : singur
aflat : exista
aflat : acolo
aflat : mărfuri
aflat : figura
aflat : număra
aflat : printre
afloriment : deschidere
afonizare : asurzire
aforistic : sentențios
afreta : navlosi
afretare : navlosire
afretat : navlosi
afrikaander : locuiesc
afrikaander : sudul
aftă : acrum
afum : chercheli
afum : fumega
afum : îmbăta
afuma : chercheli
afuma : fumega
afuma : îmbăta
afumare : chercheli
afumare : fumega
afumare : îmbăta
afumat : băut
afumat : cherchelit
afumat : îmbătat
afumătoare : cățuie
afumătoare : afumătorie
afumătoare : pentru
afund : adânc
afund : adâncime
afund : măruntaie
afund : profunzime
afund : străfund
afund : afunzime
afund : baiere
afunda : adânci
afunda : cufunda
afunda : înfunda
afunda : scufunda
afunda : îngropa
afunda : fruntea
afundare : adâncire
afundare : cufundare
afundare : înfundare
afundare : scufundare
afundare : picioarelor
afundat : adânci
afundat : cufunda
afundat : înfunda
afundat : scufunda
afundat : îngropa
afundat : fruntea
afundiș : adâncime
afundiș : afund
afundiș : măruntaie
afundiș : profunzime
afunzime : adâncime
afunzime : afund
afunzime : măruntaie
afunzime : profunzime
afurisit : blestemat
afurisit : câinos
afurisit : îndrăcit
afurisit : ticălos
afurisit : pustiu
afurisit : pârdalnic
afurisit : împelițat
afurisit : jurat
afurisit : urgisit
afurisit : pricăjit
afurisit : săcret
afâna : înfoia
afânare : înfoia
afânat : moale
afânat : poros
afânat : pufos
afânat : înfoiat
afânat : țărânos
afânat : puhav
agalactie : răsfug
agalactie : atinge
agale : alene
agale : binișor
agale : domol
agale : încet
agale : încetinel
agale : încetișor
agale : liniștit
agale : ușurel
agale : cătinel
agale : mereu
agale : câtingan
agarean : musulman
agarean : necredincios
agat : atârna
agat : prinde
agat : spânzura
agat : suspenda
agat : anina
agat : zgrepțăna
agat : împrinde
agat : apuca
agat : crengi
ageamiu : incapabil
ageamiu : incompetent
ageamiu : necapabil
ageamiu : nechemat
ageamiu : necompetent
ageamiu : necunoscător
ageamiu : neinițiat
ageamiu : neisprăvit
ageamiu : nepregătit
ageamiu : nepriceput
ageamiu : neștiutor
agent : zapciu
agent : copoi
agent : agent
agent : factor
agenție : oficiu
agesti : cuibări
agestire : cuibări
agestit : cuibări
aghesmui : atinge
aghesmui : chercheli
aghesmui : îmbăta
aghesmuire : atinge
aghesmuire : chercheli
aghesmuire : îmbăta
aghesmuit : băut
aghesmuit : cherchelit
aghesmuit : îmbătat
agita : clocoti
agita : frământa
agita : fremăta
agita : învolbura
agita : zbate
agita : zbuciuma
agita : sălta
agita : sălbătici
agita : crescute
agita : clătina
agita : scutura
agita : zgudui
agita : clătări
agita : neliniști
agita : zvârcoli
agita : cioșmoli
agita : mișca
agitare : clocoti
agitare : frământa
agitare : fremăta
agitare : învolbura
agitare : zbate
agitare : zbuciuma
agitare : sălta
agitare : sălbătici
agitare : crescute
agitare : clătina
agitare : scutura
agitare : zgudui
agitare : clătări
agitare : neliniști
agitare : zvârcoli
agitare : cioșmoli
agitare : mișca
agitat : clocotitor
agitat : frământat
agitat : fremătător
agitat : învolburat
agitat : tulburat
agitat : tumultuos
agitat : zbuciumat
agitat : colcotos
agitat : răzvrătit
agitație : clocot
agitație : frământare
agitație : învolburare
agitație : tălăzuire
agitație : tumult
agitație : vuiet
agitație : zbatere
agitație : zbucium
agitație : zbuciumare
agitație : apelor
agitație : ieșite
agitație : neliniște
agitație : tulburare
agitație : nimic
agitație : stârnit
aglică : ferice
aglică : ferigea
aglică : oglice
aglică : teișor
aglică : barba-caprei
aglică : floarea-soarelui-de-câmp
aglomera : suprapopula
aglomera : ticsi
aglomera : regiunea
aglomerare : suprapopula
aglomerare : ticsi
aglomerare : regiunea
aglomerat : suprapopulat
aglomerat : ticsit
aglomerat : teritoriu
aglomerație : aflux
aglutina : alipi
aglutina : reuni
aglutina : elemente
aglutina : vorbirii
aglutinare : lipire
aglutinare : unire
aglutinare : sudare
aglutinat : lipit
aglutinat : reunit
aglutinat : sudat
agonie : ropot
agonisi : dobândi
agonisi : procura
agonisi : însăma
agonisit : dobândi
agonisit : procura
agonisit : însăma
agoniza : stinge
agonizare : stinge
agrafă : plagi
agrafă : strânse
agramat : incult
agramat : necultivat
agramat : neinstruit
agramat : neînvățat
agramat : prost
agramatism : nepricepere
agrava : acutiza
agrava : grecism
agrava : prohorisi
agrava : deteriora
agrava : îngreuia
agrava : infractorului
agravare : înrăire
agravare : înrăutățire
agravare : acutizare
agravare : deteriorare
agravare : stării
agrea : accepta
agreabil : plăcut
agreabil : atrăgător
agreabil : prietenos
agreabil : încăpere
agreabil : amuzant
agreabil : antrenant
agreabil : distractiv
agreabil : omenos
agreabil : pâșim
agreabil : ogodit
agreabil : dulce
agreare : accepta
agreat : accepta
agrega : alipi
agrega : reuni
agregare : alipi
agregare : reuni
agregat : alipi
agregat : reuni
agrement : aprobare
agrement : consimțământ
agrement : diplomat
agresa : agresiona
agresa : ataca
agresare : agresiona
agresare : ataca
agresat : agresiona
agresat : ataca
agresiune : împotriva
agresiv : militarist
agresiv : provocator
agresiv : războinic
agresiv : belicos
agresor : atacator
agresor : cotropitor
agresor : invadator
agresor : năvălitor
agrest : pastoral
agrest : rural
agrest : rustic
agricol : agrar
agricol : agrarian
agricol : plugăresc
agricolă : agrar
agricolă : agrarian
agricolă : plugăresc
agricultor : plugar
agriș : rezachie
agropyrum : răgălie
agrostemma : zizanie
agrotehnică : agrologie
agurijoară : nudli
agurijoară : porcire
agurijoară : floare-de-nisip
agâmba : înșfăca
agâmbare : înșfăca
agâmbat : înșfăca
agăța : atârna
agăța : prinde
agăța : spânzura
agăța : suspenda
agăța : anina
agăța : zgrepțăna
agăța : împrinde
agăța : apuca
agăța : crengi
agățare : agățat
agățare : atârnare
agățare : atârnat
agățare : prindere
agățare : prins
agățare : spânzurare
agățare : spânzurat
agățare : suspendare
agățare : acroșaj
agățare : acroșare
agățare : aninare
agățare : aninat
agățare : obiect
agățat : atârnat
agățat : spânzurat
agățat : suspendat
agățat : aninat
agățat : obiecte
agățătoare : atârnătoare
agățătoare : aninătoare
agățător : cățărător
agățător : suitor
agățător : urcător
ah : interj
ahotă : avânt
ahotă : entuziasm
ahotă : înflăcărare
ahotă : înfocare
ahotă : însuflețire
ahotă : pasiune
aht : durere
aht : încercare
aht : oftare
aht : oftat
aht : pătimire
aht : suspin
aht : suspinare
ahtia : jindui
ahtia : râvni
ahtiere : jindui
ahtiere : râvni
ahtynum : spinări
ahtynum : spinarea-lupului
ahtynum : filix
ai : sălbatic
ai : șarpelui
aici : acoace
aidomanie : satiriazis
aiept : avânta
aiept : azvârli
aiept : îndrepta
aiept : năpusti
aiept : năvăli
aiept : potrivi
aiept : precipita
aiept : repezi
aiept : sări
aiepta : avânta
aiepta : azvârli
aiepta : îndrepta
aiepta : năpusti
aiepta : năvăli
aiepta : potrivi
aiepta : precipita
aiepta : repezi
aiepta : sări
aieptare : avânta
aieptare : azvârli
aieptare : îndrepta
aieptare : năpusti
aieptare : năvăli
aieptare : potrivi
aieptare : precipita
aieptare : repezi
aieptare : sări
aieptat : avânta
aieptat : azvârli
aieptat : îndrepta
aieptat : năpusti
aieptat : năvăli
aieptat : potrivi
aieptat : precipita
aieptat : repezi
aieptat : sări
aievea : deschis
aievea : deslușit
aievea : direct
aievea : explicit
aievea : expres
aievea : franc
aievea : lămurit
aievea : limpede
aievea : răspicat
ailanthus : leșier
ailanthus : oțetar
ailanthus : arbore-puturos
aira : iarba-bălții
aira : părul-porcului
aisberg : ghețar
aisberg : plutitor
aisberg : munte
aisfild : câmp
aiurea : interj
aiurea : altundeva
aiurea : ainde
aiurea : aindine
aiurea : plecat
aiurea : sanchi
aiurea : ți-am
aivă : poseda
aivă : deține
aivă : purta
aivă : numele
aivă : nutri
aivă : sentimente
aivă : pentru
aivă : exista
aivă : găsi
aivă : bucura
aivă : dispune
aivă : sfârșit
aișor : pădure
aișor : dalac
aișor : ghiocel
ajacis : purtat
ajacis : sultan
ajacis : bonzari
ajacis : cătănioare
ajacis : ocheșei
ajacis : păpucei
ajacis : pinten
ajacis : ciocul-ciorii
ajacis : ciocul-păsării
ajacis : floarea-grâului
ajacis : țâța-caprei
ajuga : spicele
ajuga : barba-boierului
ajuga : țâța-caprei
ajuga : coada-șopârlei
ajuga : norea
ajuga : barba-țapului
ajuga : coada-priculicilor
ajuga : cornul-dracului
ajuga : floarea-zmeului
ajuga : goliciunea-fetii-pădurii
ajumi : dormita
ajumi : picoti
ajumire : dormita
ajumire : picoti
ajumit : dormita
ajumit : picoti
ajunge : interj
ajunge : basta
ajunge : destul
ajunge : isprăvește
ajunge : punct
ajunge : sfârșește
ajunge : peior
ajuns : căpătuit
ajuns : chivernisit
ajuns : îmbogățit
ajuns : înavuțit
ajuns : înstărit
ajusta : adapta
ajusta : potrivi
ajustare : adaptare
ajustare : potrivire
ajustat : adapta
ajustat : potrivi
ajuta : ajutora
ajuta : ocroti
ajuta : proteja
ajuta : sprijini
ajuta : susține
ajuta : protegui
ajuta : înlesni
ajuta : prindori
ajuta : îndemâna
ajuta : protecta
ajuta : propti
ajuta : milui
ajuta : proslăvi
ajuta : folosi
ajuta : servi
ajuta : sluji
ajutare : ajutorare
ajutare : sprijinire
ajutare : cuiva
ajutare : rezolvarea
ajutat : ajutorat
ajutat : ocrotit
ajutat : protejat
ajutat : sprijinit
ajutat : susținut
ajutat : proteguit
ajutat : proptit
ajutor : interj
ajutor : ocrotire
ajutor : protecție
ajutor : sprijin
ajutor : recurs
ajutor : ajutorie
ajutor : turcism
ajutor : iamac
ajutor : mulțumit
ajutor : pentru
ajutor : concurs
ajutor : oficii
ajutor : serviciu
ajutor : contribuție
ajutor : patronaj
ajutor : tutelaj
ajutor : bucura
ajutor : reazem
ajutor : sprijinitor
ajutor : toiag
ajutor : bătrânețelor
ajutor : auxiliar
ajutori : interj
ajutori : ocrotire
ajutori : protecție
ajutori : sprijin
ajutori : recurs
ajutori : ajutorie
ajutori : turcism
ajutori : iamac
ajutori : mulțumit
ajutori : pentru
ajutori : concurs
ajutori : oficii
ajutori : serviciu
ajutori : contribuție
ajutori : patronaj
ajutori : tutelaj
ajutori : bucura
ajutori : reazem
ajutori : sprijinitor
ajutori : toiag
ajutori : bătrânețelor
ajutori : auxiliar
ajutorie : ocrotire
ajutorie : protecție
ajutorință : fumărit
ajutorință : ocrotire
ajutorință : protecție
ajutorință : sprijin
alac : tenchi
alaciu : pătat
alagea : bucluc
alagea : dandana
alagea : neajuns
alagea : necaz
alagea : nemulțumire
alagea : nenorocire
alagea : neplăcere
alagea : nevoie
alagea : pacoste
alagea : pocinog
alai : cortegiu
alai : ecpaia
alai : saltanat
alalie : logoplegie
alamă : mesing
alamă : alămărie
alamă : felul
alaturi : juxtapune
alaturi : multe
alaun : vestul
alaun : săricea
alaun : folosit
alaș : pătul
alb : poetic
alb : coama
alb : coliliu
alb : părul
alb : bariu
alb : știubeci
alb : titan
alb : mijlociu
alb : nescris
alb : foaie
albanez : schipetar
albanez : arnăut
albanez : arvanit
albanez : arnăuțesc
albastre : turchez
albastru : turchez
albaștri : turchez
albeață : albiciune
albeață : albime
albei : poetic
albei : coama
albei : coliliu
albei : părul
albei : bariu
albei : știubeci
albei : titan
albei : mijlociu
albei : nescris
albei : foaie
albi : înălbi
albicios : albiu
albicios : albui
albicios : alburiu
albicios : aspect
albie : copaie
albie : balie
albie : spălător
albie : trecut
albie : ușor
albii : poetic
albii : coama
albii : coliliu
albii : părul
albii : bariu
albii : știubeci
albii : titan
albii : mijlociu
albii : nescris
albii : foaie
albiliță : fluture
albiliță : fluture-alb
albina : bondar
albinel : furnicar
albinel : prigorie
albino : bondar
albină : produce
albioară : covățea
albioară : frământat
albire : înălbire
albit : înălbit
albitură : spațiile
albitură : dintre
albitură : numește
albitură : orice
albitură : pește
albitură : culoare
album : știr
album : piciorul-caprei
albumen : endoderm
albă : poetic
albă : coama
albă : coliliu
albă : părul
albă : bariu
albă : știubeci
albă : titan
albă : mijlociu
albă : nescris
albă : foaie
albăstrea : vinețea
albăstrea : ghioc
albăstrea : zglăvoc
albăstrea : floarea-grâului
albăstrea : floarea-paiului
albăstreală : pentru
albăstri : înălbăstri
albăstri : mierii
albăstri : obiect
albăstri : scrobi
albăstri : sinili
albăstrire : înălbăstri
albăstrire : mierii
albăstrire : obiect
albăstrire : scrobi
albăstrire : sinili
albăstrit : înălbăstri
albăstrit : mierii
albăstrit : obiect
albăstrit : scrobi
albăstrit : sinili
albăstrui : albăstriu
albăstrui : safiriu
albăstrui : mieriu
albăstrui : mieru
albăstrui : siniliu
alchemilla : brumărie
alchemilla : umbrarul-doamnei
alcool : spirt
alcool : spirit
alcool : alcool
alcool : pentanol
alcool : butanol
alcool : etanol
alcool : metilic
alcool : vinilic
alcool : propanol
alcool : rafinat
alcool : rectificat
alcoolat : alcoxid
alcooli : spirt
alcooli : spirit
alcooli : alcool
alcooli : pentanol
alcooli : butanol
alcooli : etanol
alcooli : metilic
alcooli : vinilic
alcooli : propanol
alcooli : rafinat
alcooli : rectificat
alcoolic : băutor
alcoolic : bețiv
alcoolic : șumen
alcoolic : pilaci
alcoolic : pilangiu
alcoolic : sugaci
alcoolic : sugător
alcoolic : spirtos
alcoolic : spirituos
alcoolism : beție
alcoolism : etilism
alcor : cărăușul
alcor : văcarul
alcor : ucigă-l-crucea
alcor : ucigă-l-toaca
alcătui : concepe
alcătui : întocmi
alcătui : plăsmui
alcătui : realiza
alcătui : colecție
alcătui : compune
alcătui : construi
alcătui : constitui
alcătui : forma
alcătui : înforma
alcătuire : aranjament
alcătuire : așezare
alcătuire : dispunere
alcătuire : distribuție
alcătuire : întocmire
alcătuire : materiei
alcătuit : concepe
alcătuit : întocmi
alcătuit : plăsmui
alcătuit : realiza
alcătuit : colecție
alcătuit : compune
alcătuit : construi
alcătuit : constitui
alcătuit : forma
alcătuit : înforma
aldebaran : deșteptătorul
aldebaran : porcarul
aldebaran : luceafărul-porcesc
aldebaran : luceafărul-porcului
aldebaran : ochiul-taurului
aldebaran : steaua-porcului
aldin : compact
aldine : compact
aldol : acetaldol
aleatoriu : incidental
aleatoriu : întâmplător
aleatoriu : ocazional
alee : intrare
alee : fundac
alee : impas
alege : decide
alege : stabili
alege : îndemna
alege : rezolva
alege : cumpăni
alege : desemna
alege : învesti
alege : rămâne
alege : te-ai
alegere : scrutin
alegere : votare
alegere : timpul
alegoric : simbolic
alegoric : imagine
alegru : sprinten
alegând : decide
alegând : stabili
alegând : îndemna
alegând : rezolva
alegând : cumpăni
alegând : desemna
alegând : învesti
alegând : rămâne
alegând : te-ai
alei : intrare
alei : fundac
alei : impas
aleluia : interj
alerga : încura
alerga : scopci
alergare : încurare
alergat : încura
alergat : scopci
alergie : anafilaxie
alergie : erupție
alergie : exantem
alergătoare : războiul
alergătură : alergare
alergătură : umblet
alergătură : prepurtare
alergătură : ceasuri
alergătură : rezolvat
alergătură : făcut
alert : sprinten
ales : deosebit
ales : distins
ales : rafinat
ales : select
ales : stilat
ales : subtil
ales : subțire
ales : public
ales : delicat
ales : manierat
ales : politicos
ales : comportare
ales : generos
ales : mărinimos
ales : nobil
ales : sentimente
ales : aparte
ales : scump
ales : aristocrat
ales : aristocratic
ales : ilustru
ales : înalt
ales : mărit
ales : slăvit
ales : blagorod
ales : blagorodnic
ales : grecism
ales : evghenicos
ales : evghenis
ales : peior
ales : simandicos
ales : familii
alese : decide
alese : stabili
alese : îndemna
alese : rezolva
alese : cumpăni
alese : desemna
alese : învesti
alese : rămâne
alese : te-ai
alfabet : vremea
alfabet : scrierii
alfabet : litere
alfabet : chirilice
alfabet : azbuche
algo : cianoficee
algonkian : proterozoic
algă : cianoficee
aliat : soție
alice : șiret
alice : pentru
alică : șiret
alică : pentru
alifie : unguent
alifie : liniment
alifie : unsoare
alifie : mehlem
alimentat : hrănit
alimentat : nutrit
alimentație : alimentare
alimentație : hrănire
alimentație : mâncare
alimentație : mâncat
alimentație : nutrire
alimentație : nutriție
alimentație : timpul
alin : calma
alin : domoli
alin : îmblânzi
alin : liniști
alin : potoli
alin : tempera
alin : ușura
alin : ostoi
alin : mângâia
alin : odihni
alin : adormi
alin : răcori
alin : spuse
alin : durerea
alin : plâns
alina : calma
alina : domoli
alina : îmblânzi
alina : liniști
alina : potoli
alina : tempera
alina : ușura
alina : ostoi
alina : mângâia
alina : odihni
alina : adormi
alina : răcori
alina : spuse
alina : durerea
alina : plâns
alinare : calmare
alinare : domolire
alinare : liniștire
alinare : potolire
alinare : temperare
alinare : ușurare
alinare : potolit
alinat : calma
alinat : domoli
alinat : îmblânzi
alinat : liniști
alinat : potoli
alinat : tempera
alinat : ușura
alinat : ostoi
alinat : mângâia
alinat : odihni
alinat : adormi
alinat : răcori
alinat : spuse
alinat : durerea
alinat : plâns
alineat : paragraf
alini : calma
alini : domoli
alini : îmblânzi
alini : liniști
alini : potoli
alini : tempera
alini : ușura
alini : ostoi
alini : mângâia
alini : odihni
alini : adormi
alini : răcori
alini : spuse
alini : durerea
alini : plâns
alinia : înșira
alinia : șirui
alinia : ordona
alinia : rândui
aliniat : înșirat
aliniat : înșiruit
aliniat : rânduit
aliniere : înșira
aliniere : șirui
aliniere : ordona
aliniere : rândui
alint : alintare
alint : dezmierdare
alint : mângâiere
alinta : cocoli
alinta : răzgâia
alinta : corconi
alinta : mădări
alinta : lăinici
alintare : răsfățare
alintare : răzgâiere
alintare : ~ările
alintat : dezmierdat
alintat : mângâiat
alintat : cocolit
alintat : răsfățat
alintat : răzgâiat
alintat : mădărit
alintat : ninerat
alintătură : dezmierdare
alipi : aglutina
alipi : reuni
alipi : elemente
alipi : vorbirii
alipire : aglutinare
alipire : lipire
alipire : unire
alipire : sudare
alipire : cuvinte
alipit : aglutinat
alipit : lipit
alipit : reunit
alipit : sudat
alipit : microorganisme
alisma : limba-bălților
alisma : limba-broaștei
alisma : limba-oii
alitare : calorizare
allanit : ortit
allegro : repede
alliaria : aișor
alliaria : vindecătoare
alliaria : frunza-voinicului
alliaria : iarbă-de-boale
alliaria : iarbă-de-lingoare
alnus : liliac-de-munte
alocare : alocație
aloe : sabur
aloe : fiere-de-urs
alogen : alogenetic
alotropie : alotropism
alozom : cromozom
alozom : heterozom
alozom : sexual
alpaca : argentan
alpin : alpestru
alpina : alpestru
alpinum : lăptiuca-oii
alpinus : strelici
alpinus : grăsime
alpinus : iarbă-moale
alpinus : steaua-fetei
alpinus : ochiul-boului
alpmus : sunătoare
alpmus : coaiele-popii
altar : creștini
altar : sanctuar
altar : pristol
altar : oltar
altar : jertfelnic
altar : trebnic
altar : tabernacul
altcineva : altcareva
altera : descompune
altera : fermenta
altera : înăcri
altera : strica
altera : sărbezi
altera : sminti
altera : mocni
altera : pâșcăvi
altera : scoace
alterabil : stricăcios
alterare : acrire
alterare : descompunere
alterare : fermentare
alterare : împuțire
alterare : înăcrire
alterare : stricare
alterat : acrit
alterat : descompus
alterat : fermentat
alterat : împuțit
alterat : înăcrit
alterat : stricat
alterat : mocnit
alterat : sărbezit
alterat : scopt
alterat : brânzit
alterație : accident
alternare : rotație
alternare : succesiune
alternifolium : bulbuc
alteră : descompune
alteră : fermenta
alteră : înăcri
alteră : strica
alteră : sărbezi
alteră : sminti
alteră : mocni
alteră : pâșcăvi
alteră : scoace
altfel : altminteri
altfel : altcum
altfel : altcumva
altfel : procedeze
althaea : colăceii-babei
altissima : leșier
altissima : oțetar
altissima : arbore-puturos
altitudine : înălțime
altminteri : altfel
altoi : prăsădi
altoire : inoculație
altoit : prăsad
altruism : generozitate
altruist : generos
altul : celălalt
altul : când
aluat : pielm
aluat : pentru
aluat : creșterea
aluminosilicat : alumosilicat
aluna : pământ
aluneca : luneca
aluneca : scăpăta
alunecare : lunecare
alunecat : luneca
alunecat : scăpăta
alunecos : lunecos
alunecos : bălos
alunecări : lunecare
alunele : mândălac
alungi : întinde
alungi : lungi
alungi : prelungi
alungi : subția
alungi : obiect
alungire : întinde
alungire : lungi
alungire : prelungi
alungire : subția
alungire : obiect
alungit : prelung
alungit : prelungit
alungit : oblong
alungit : fruct
aluniță : stârlici
alună : pământ
alură : poziție
aluvial : aluvionar
aluzie : franțuzism
aluzie : apropo
aluzie : cusur
aluzie : făcut
alveolo : fagurii
alveolă : fagurii
alămărie : alămuri
alămărie : divers
alăpta : apleca
alăpta : băia
alăptare : lactație
alăptat : apleca
alăptat : băia
alătura : juxtapune
alătura : multe
alăturare : juxtapunere
alăturat : juxtapus
alăturat : anexat
alături : local
alături : colea
alături : chiar
alături : modal
alături : marginea
amabilitate : bunătate
amabilitate : să-mi
aman : interj
amanet : garanție
amanet : chezășie
amanet : zălog
amanet : rămas
amanet : drept
amaneta : zălogi
amaneta : supune
amanetare : zălogire
amanetat : zălogit
amanita : spongie
amanita : burete-de-mare
amanita : spongier
amanita : șponghie
amanita : șters
amanita : coralloides
amanita : curălice
amanita : meloșel
amanita : opintici
amanita : togmăgel
amanita : barba-caprei
amanita : laba-mâței
amanita : rămurele
amanita : pâinișoare
amanita : flocoșel
amanita : cibarius
amanita : gălbinele
amanita : gălbiori
amanita : unghia-caprei
amanita : cerbilor
amanita : vulgare
amanita : bășina-porcului
amanita : ostreatus
amanita : burete-șerpesc
amanita : pălăria-șarpelui
amanita : procera
amant : concubin
amant : iubit
amant : prieten
amant : amorez
amant : ibovnic
amant : libovnic
amant : gagic
amant : gagiu
amar : schinel
amaranthus : moțoc
amaranthus : cucui
amaranthus : vestul
amaranthus : pupui
amaranthus : țuluc
amaranthus : creasta-cocoșului
amaranthus : nasul-curcanului
amaranthus : știr
amarare : amaraj
amarat : nenorocit
amarat : prăpădit
amarat : pârlit
amarat : funcționar
amară : schinel
amator : doritor
amator : dornic
amator : iubitor
amator : pofticios
amator : râvnitor
amator : poftitor
amator : poftos
amator : pohtaci
amator : libovnic
amator : râvnaci
amator : diletant
amator : neprofesionist
amatorism : diletantism
amatorism : neprofesionalism
amatorism : neprofesionism
ambasador : legat
ambazonă : faringosept
amberboa : bumbi
amberboa : cănăfior
amberboa : didinele
amberboa : scăișori
amberboa : spoitori
ambiant : înconjurător
ambiant : ambiental
ambitus : întindere
ambitus : registru
ambiție : pretenție
ambiție : veleitate
ambiție : inaghie
ambiție : lipsit
ambițios : pretențios
ambițios : veleitar
ambra : chihlimbar
ambra : cenușiu
ambra : intestinul
ambrosioides : botrys
ambră : chihlimbar
ambră : cenușiu
ambră : intestinul
ambulanță : salvare
ameliora : îndrepta
ameliora : răzbuna
ameliorare : ameliorație
ameliorare : îmbunătățire
ameliorare : îndreptare
ameliorat : îndrepta
ameliorat : răzbuna
ameliorație : funciare
amellus : gălățence
amellus : vărsătoare
amellus : flori-cojocărești
amellus : iarba-vântului
amellus : ochiul-boului
amenda : penaliza
amenda : globi
amenda : ștrăfui
amendare : penalizare
amendare : cuiva
amendat : penaliza
amendat : globi
amendat : ștrăfui
amendă : penalitate
amendă : penalizare
amendă : penalizație
amendă : ștraf
amendă : birșag
amendă : globire
amendă : hatalm
amendă : turcism
amendă : geremea
amendă : aplicat
amenința : mănânțăla
amenința : pândi
amenința : paște
amenința : periclita
amenința : primejdui
amenința : situație
amenințare : îngrozire
